Fecha,Monto,Documento de Identidad,Descripción
2024-10-30,78.40,55667788,"Estimados señores, solicito revisión urgente de una comisión aplicada el 30 de octubre por $78.40 en concepto de ""mantenimiento de tarjeta de crédito"". Según mi contrato, esta tarjeta tiene anualidad gratuita de por vida por ser cliente preferencial desde hace 15 años. Este cobro va contra lo acordado y requiero su inmediata reversión junto con garantías de que no se repetirá."
2024-11-05,567.25,66778899,"Con mucha preocupación me comunico para reportar transacciones no autorizadas en mi tarjeta de crédito por un total de $567.25 realizadas el 5 de noviembre. Estas compras aparecen como realizadas en tiendas en línea internacionales que no conozco. Mi tarjeta estaba en mi poder en todo momento. Solicito bloqueo inmediato, investigación del fraude y reembolso completo."
2024-10-26,195.80,77889900,"Buenos días, deseo expresar mi inconformidad con el cobro de intereses por $195.80 en mi línea de crédito durante octubre. Según mis cálculos y el contrato firmado, la tasa aplicada es superior a la acordada. He revisado las condiciones y hay una diferencia significativa. Solicito recálculo con la tasa correcta y ajuste en mi próximo estado de cuenta."
2024-11-07,89.99,88990011,"Por la presente reporto un cargo duplicado en mi cuenta corriente. El 7 de noviembre pagué una factura de servicios públicos por $89.99 a través de la banca móvil. Sin embargo, el pago se procesó dos veces, generando un débito total de $179.98. El proveedor de servicios confirma que solo recibió un pago. Necesito la devolución inmediata del pago duplicado."
2024-10-19,1456.00,99001122,"Señores, escribo sumamente molesto por un error grave en el procesamiento de mi cuota de préstamo automotriz. El 19 de octubre me cobraron $1,456.00 cuando mi cuota mensual es de $1,120.00. Al investigar, descubrí que aplicaron seguros adicionales que jamás contraté. Este sobrecobro me ha afectado financieramente y exijo corrección inmediata con reversión de los cargos indebidos."
2024-11-03,234.55,10112233,"Me comunico para reportar una situación irregular con mi cuenta de ahorros. El 3 de noviembre aparece un débito de $234.55 por ""comisión por transferencia electrónica"" pero ese día no realicé ninguna transferencia. He revisado todos mis movimientos y comprobantes, y no encuentro justificación para este cargo. Solicito investigación y devolución del monto si corresponde."
2024-10-29,675.30,21223344,"Estimados, tengo un problema urgente con mi tarjeta de crédito. Durante el fin de semana del 29 de octubre aparecen múltiples cargos por $675.30 en cajeros automáticos de una ciudad que nunca he visitado. Mi tarjeta estuvo conmigo en todo momento y no la presté a nadie. Claramente es fraude y necesito investigación inmediata, bloqueo de tarjeta y reembolso completo."
2024-11-06,156.75,32334455,"Por medio de esta comunicación formal expreso mi desacuerdo con una comisión cobrada el 6 de noviembre por $156.75 en concepto de ""asesoría financiera"". Nunca solicité este servicio ni autorizo su contratación. Este cargo apareció sin previo aviso ni consentimiento de mi parte. Exijo explicación detallada y reversión inmediata del cobro indebido."
2024-10-24,445.20,43445566,"Buenos días, escribo para reportar un error en el sistema que ha duplicado el pago de mi cuota de tarjeta de crédito. El 24 de octubre programé un pago de $445.20 desde mi cuenta corriente, pero el sistema lo procesó dos veces, debitando $890.40. Esto me ha causado sobregiro y comisiones adicionales. Solicito corrección urgente y devolución del pago duplicado."
2024-11-02,123.45,54556677,"Me dirijo a ustedes para cuestionar un cargo aparecido el 2 de noviembre por $123.45 descrito como ""comisión por uso de banca telefónica"". El problema es que no he utilizado este servicio en los últimos meses, todas mis transacciones las realizo por internet o presencialmente. Este cobro parece ser un error del sistema y solicito su inmediata corrección."
2024-10-27,789.60,65667788,"Señores del banco, escribo muy preocupado por transacciones sospechosas en mi cuenta. El 27 de octubre aparecen tres débitos por $789.60 realizados en establecimientos que no reconozco y en horarios cuando estaba trabajando. Tengo testigos que pueden confirmar mi ubicación. Esto claramente es fraude y necesito investigación urgente con reposición de fondos."
2024-11-05,298.75,76778899,"Estimados, solicito revisión urgente de una comisión aplicada el 5 de noviembre por $298.75 en mi línea de crédito empresarial. Según el contrato firmado, este tipo de cuenta está exenta de comisiones de mantenimiento por los primeros dos años. Apenas llevo 8 meses como cliente. Solicito reversión inmediata y cumplimiento de las condiciones contractuales acordadas."
2024-10-21,567.89,87889900,"Por la presente hago formal reclamo por un error en el procesamiento de una transferencia. El 21 de octubre envié $567.89 a mi cuenta de ahorros en otra sucursal, pero el dinero nunca llegó a destino. Han pasado más de dos semanas y el dinero simplemente desapareció del sistema. Necesito localización urgente de estos fondos y su correcta aplicación."
2024-11-04,134.20,98990011,"Buenos días, deseo reportar cargos no autorizados en mi tarjeta de débito por $134.20 realizados el 4 de noviembre en una gasolinera de otra región. Ese día estuve en mi ciudad natal y tengo comprobantes que lo demuestran. Mi tarjeta no salió de mi poder en ningún momento. Solicito investigación inmediata por posible clonación y reembolso completo."
2024-10-17,456.70,11009988,"Me comunico para expresar mi total desacuerdo con el cobro de intereses moratorios por $456.70 aplicados el 17 de octubre en mi préstamo personal. Realicé el pago completo el día 14, tres días antes del vencimiento, y tengo el comprobante bancario que lo demuestra. Este cobro es totalmente injustificado y solicito su inmediata reversión junto con las disculpas correspondientes."
2024-11-06,223.85,22110099,"Estimados señores, escribo para reportar un problema técnico que me ha afectado financieramente. El 6 de noviembre intenté realizar un pago de servicios por $223.85 a través del cajero automático. La máquina se bloqueó durante la transacción pero debitó el dinero de mi cuenta sin completar el pago. El proveedor no recibió el pago y ahora debo pagarlo nuevamente."
2024-10-23,789.40,33221100,"Por medio de esta carta formal denuncio cargos fraudulentos en mi tarjeta de crédito. El 23 de octubre aparecen compras por $789.40 realizadas en centros comerciales donde nunca he estado. Tengo mi agenda de trabajo que demuestra que estaba en reuniones importantes todo ese día. Solicito investigación completa, bloqueo de tarjeta y reembolso inmediato de estos cargos no autorizados."
2024-11-01,167.55,44332211,"Buenos días, solicito atención urgente para un error en el cobro de mi cuota hipotecaria. El 1ro de noviembre me cobraron $167.55 adicionales por concepto de ""seguro de vida"" que ya tengo contratado con otra compañía y está al día. Esta duplicidad representa un sobrecosto injustificado. Requiero corrección inmediata y garantías de que no se repetirá este error administrativo."
2024-10-28,345.60,55443322,"Me dirijo a ustedes para cuestionar una comisión cobrada el 28 de octubre por $345.60 en concepto de ""gestión de cobranza"". Mi cuenta nunca ha estado en mora y siempre he sido un pagador cumplido. No entiendo la justificación de este cargo que apareció sin previo aviso. Solicito explicación detallada y reversión inmediata si no hay sustento legal para el mismo."
2024-11-05,678.90,66554433,"Estimados, escribo muy molesto por un error grave en mi estado de cuenta. El 5 de noviembre aparece un débito de $678.90 por ""compra en punto de venta"" pero ese día no realicé ninguna compra física. Estuve enfermo en casa todo el día y tengo constancia médica. Esto es claramente un error o fraude que requiere investigación inmediata y reembolso completo."
2024-10-20,189.25,77665544,"Por la presente reporto una situación anómala con mi cuenta corriente. El 20 de octubre se aplicó un cargo de $189.25 por ""transferencia rechazada"" pero nunca intenté realizar ninguna transferencia ese día. He revisado todos mis registros y no hay evidencia de tal transacción. Solicito explicación y devolución del monto cobrado sin justificación válida."
2024-11-03,456.80,88776655,"Señores del banco, escribo urgentemente para reportar un problema con mi tarjeta de crédito. El 3 de noviembre aparecen múltiples cargos por $456.80 en tiendas departamentales que no frecuento. Mi tarjeta estuvo guardada en mi cartera todo el tiempo. Sospecho clonación o robo de datos. Necesito bloqueo inmediato, investigación completa y reembolso total de estos cargos fraudulentos."
2024-10-25,234.70,99887766,"Buenos días, solicito revisión de una comisión aplicada el 25 de octubre por $234.70 en mi cuenta de ahorros programados. Según el contrato, este tipo de cuenta no genera comisiones siempre que se mantenga el plan de ahorro activo. Mi plan está vigente y al día. Este cobro contradice las condiciones acordadas y solicito su inmediata corrección."
2024-11-07,567.35,10998877,"Me comunico para reportar un error sistemático que me está afectando económicamente. El 7 de noviembre mi pago automático de tarjeta de crédito por $567.35 fue procesado tres veces desde mi cuenta corriente. Esto me ha causado sobregiro y comisiones adicionales innecesarias. Solicito reversión urgente de los pagos duplicados y compensación por los sobrecostos generados."
2024-10-22,123.90,21109988,"Estimados señores, escribo para cuestionar un cargo por $123.90 aplicado el 22 de octubre como ""comisión por emisión de estado de cuenta físico"". Nunca solicité estados físicos, todos mis estados los consulto digitalmente. Este servicio fue activado sin mi autorización. Solicito reversión del cargo y desactivación definitiva de este servicio no solicitado."
2024-11-04,445.65,32210099,"Por medio de esta comunicación formal denuncio transacciones no autorizadas por $445.65 realizadas el 4 de noviembre con mi tarjeta de débito en cajeros automáticos. Ese día trabajé desde casa y mi tarjeta nunca salió de mi poder. Tengo registro de actividad laboral que lo comprueba. Solicito investigación por fraude, bloqueo preventivo y reembolso completo inmediato."
2024-10-26,289.40,43321100,"Buenos días, deseo reportar un problema con el cálculo de intereses en mi línea de crédito rotatoria. En octubre me cobraron $289.40 por intereses cuando según mis cálculos debería ser aproximadamente $220.00. La diferencia es significativa y no encuentro justificación en las condiciones contractuales. Solicito revisión detallada y ajuste correspondiente en el próximo corte."
2024-11-02,678.20,54432211,"Me dirijo urgentemente para reportar cargos duplicados en mi cuenta. El 2 de noviembre realicé un pago de servicios médicos por $339.10 pero el sistema lo procesó dos veces, debitando $678.20 total. La clínica confirma que solo recibió un pago. Han pasado 5 días y mi reclamo no ha sido resuelto. Necesito devolución inmediata del pago duplicado."
2024-10-29,156.85,65543322,"Estimados, escribo para cuestionar una comisión cobrada el 29 de octubre por $156.85 en concepto de ""asesoría en inversiones"". Nunca contraté este servicio ni tuve ninguna reunión de asesoría. Este cargo apareció sin mi conocimiento ni autorización. Exijo explicación detallada de cómo se originó este cobro y su inmediata reversión por ser completamente injustificado."
2024-11-06,734.50,76654433,"Señores del banco, reporto con urgencia transacciones fraudulentas en mi tarjeta de crédito por $734.50 realizadas el 6 de noviembre en restaurantes y bares de una ciudad que jamás he visitado. Tengo comprobantes de que estuve en mi ciudad de residencia todo el día. Solicito bloqueo inmediato de la tarjeta, investigación completa del fraude y reembolso total."
2024-10-18,267.30,87765544,"Por la presente hago formal reclamo por un error en el procesamiento de mi depósito. El 18 de octubre deposité $267.30 en efectivo en un cajero automático pero el monto nunca se reflejó en mi cuenta. Tengo el recibo de la transacción como comprobante. Han pasado varias semanas y mi dinero sigue sin aparecer. Necesito localización urgente y aplicación correcta del depósito."
2024-11-05,445.75,98876655,"Buenos días, solicito atención inmediata para un problema con mi préstamo estudiantil. En la cuota de noviembre me cobraron $445.75 cuando la cuota acordada es de $380.00. Al revisar el detalle, veo que aplicaron una comisión por ""reestructuración"" que jamás solicité. Mi préstamo está al día y no requiere reestructuración. Solicito corrección y devolución del sobrecobro."
2024-10-24,189.60,21987766,"Me comunico para reportar una anomalía en mi cuenta de ahorros. El 24 de octubre aparece un débito de $189.60 por ""comisión por transferencia ACH"" pero ese día no realicé ninguna transferencia. He verificado todos mis movimientos y no hay registro de tal operación en mis archivos personales. Solicito investigación y devolución del monto cobrado sin sustento."
2024-11-03,356.40,43109887,"Estimados señores, escribo preocupado por cargos no reconocidos en mi tarjeta de débito. El 3 de noviembre aparecen transacciones por $356.40 en estaciones de servicio de una autopista por donde nunca he transitado. Mi vehículo estuvo en el taller ese día y tengo la orden de servicio que lo comprueba. Solicito investigación urgente por posible clonación y reembolso completo."
2024-10-30,523.85,54321098,"Por medio de esta carta formal denuncio un error grave en mi cuota hipotecaria. El 30 de octubre me cobraron $523.85 adicionales por concepto de ""seguro contra desempleo"" que cancelé hace tres meses. Tengo la carta de cancelación como comprobante. Este cobro indebido me ha afectado mi presupuesto mensual. Solicito reversión inmediata y garantías de no repetición."
2024-11-07,234.90,65432109,"Buenos días, deseo reportar un problema técnico que me ha perjudicado económicamente. El 7 de noviembre intenté realizar una transferencia de $234.90 a través de la aplicación móvil. El sistema mostró error pero debitó el dinero de mi cuenta sin completar la transferencia. El beneficiario no recibió los fondos. Llevo dos días sin solución y necesito que localicen mi dinero urgentemente."
